tweet,cleaning,case_folding,tokenize,stopword_removal,stemming,entity,sentiment
Toyota dan Daihatsu Indonesia Pastikan Raize-Rocky Tak Terdampak Skandal Uji Tabrak #TempoOtomotifTranslate post,Toyota dan Daihatsu Indonesia Pastikan RaizeRocky Tak Terdampak Skandal Uji Tabrak TempoOtomotifTranslate post,toyota dan daihatsu indonesia pastikan raizerocky tak terdampak skandal uji tabrak tempootomotiftranslate post,"['toyota', 'dan', 'daihatsu', 'indonesia', 'pastikan', 'raizerocky', 'tak', 'terdampak', 'skandal', 'uji', 'tabrak', 'tempootomotiftranslate', 'post']","['pastikan', 'raizerocky', 'terdampak', 'skandal', 'uji', 'tabrak', 'tempootomotiftranslate']",pasti raizerocky dampak skandal uji tabrak tempootomotiftranslate,Daihatsu,Netral
"Kasta terendah penumpang kini bukan lagi penumpang paling belakang! XL7 punya kabin yang luas untuk penumpangnya dengan fitur reclining seat pada baris ketiga, jadi bisa atur sendiri kenyamanan...",Kasta terendah penumpang kini bukan lagi penumpang paling belakang XL punya kabin yang luas untuk penumpangnya dengan fitur reclining seat pada baris ketiga jadi bisa atur sendiri kenyamanan,kasta terendah penumpang kini bukan lagi penumpang paling belakang xl punya kabin yang luas untuk penumpangnya dengan fitur reclining seat pada baris ketiga jadi bisa atur sendiri kenyamanan,"['kasta', 'terendah', 'penumpang', 'kini', 'bukan', 'lagi', 'penumpang', 'paling', 'belakang', 'xl', 'punya', 'kabin', 'yang', 'luas', 'untuk', 'penumpangnya', 'dengan', 'fitur', 'reclining', 'seat', 'pada', 'baris', 'ketiga', 'jadi', 'bisa', 'atur', 'sendiri', 'kenyamanan']","['kasta', 'terendah', 'penumpang', 'penumpang', 'kabin', 'luas', 'penumpangnya', 'fitur', 'reclining', 'seat', 'baris', 'ketiga', 'atur', 'kenyamanan']",kasta rendah tumpang tumpang kabin luas tumpang fitur reclining seat baris tiga atur nyaman,Suzuki,Positif
"Butuh bawa banyak muatan nih, jadi butuh torsi yang besar juga dong! Ini manfaat torsi besar pada mobil pick up. Check it out! ⬇️ #Suzuki #SuzukiIndonesia #SuzukiTeManBerkendara #YourGearTransl...",Butuh bawa banyak muatan nih jadi butuh torsi yang besar juga dong Ini manfaat torsi besar pada mobil pick up Check it out  Suzuki SuzukiIndonesia SuzukiTeManBerkendara YourGearTransl,butuh bawa banyak muatan nih jadi butuh torsi yang besar juga dong ini manfaat torsi besar pada mobil pick up check it out  suzuki suzukiindonesia suzukitemanberkendara yourgeartransl,"['butuh', 'bawa', 'banyak', 'muatan', 'nih', 'jadi', 'butuh', 'torsi', 'yang', 'besar', 'juga', 'dong', 'ini', 'manfaat', 'torsi', 'besar', 'pada', 'mobil', 'pick', 'up', 'check', 'it', 'out', 'suzuki', 'suzukiindonesia', 'suzukitemanberkendara', 'yourgeartransl']","['butuh', 'bawa', 'muatan', 'butuh', 'torsi', 'manfaat', 'torsi', 'pick', 'up', 'check', 'it', 'out', 'yourgeartransl']",butuh bawa muat butuh torsi manfaat torsi pick up check it out yourgeartransl,Suzuki,Positif
"Torsi dibutuhkan untuk memutar objek pada mesin mobil agar bisa bergerak dan melaju. Pada mobil pick up, tenaga atau torsi yang besar jelas dibutuhkan agar mobil tetap bisa berjalan dengan...",Torsi dibutuhkan untuk memutar objek pada mesin mobil agar bisa bergerak dan melaju Pada mobil pick up tenaga atau torsi yang besar jelas dibutuhkan agar mobil tetap bisa berjalan dengan,torsi dibutuhkan untuk memutar objek pada mesin mobil agar bisa bergerak dan melaju pada mobil pick up tenaga atau torsi yang besar jelas dibutuhkan agar mobil tetap bisa berjalan dengan,"['torsi', 'dibutuhkan', 'untuk', 'memutar', 'objek', 'pada', 'mesin', 'mobil', 'agar', 'bisa', 'bergerak', 'dan', 'melaju', 'pada', 'mobil', 'pick', 'up', 'tenaga', 'atau', 'torsi', 'yang', 'besar', 'jelas', 'dibutuhkan', 'agar', 'mobil', 'tetap', 'bisa', 'berjalan', 'dengan']","['torsi', 'dibutuhkan', 'memutar', 'objek', 'mesin', 'bergerak', 'melaju', 'pick', 'up', 'tenaga', 'torsi', 'dibutuhkan', 'berjalan']",torsi butuh putar objek mesin gerak laju pick up tenaga torsi butuh jalan,Suzuki,Netral
Begini kronologi kasus Bambang Kayun yang didakwa menerima suap uang dan barang berupa mobil Toyota Fortuner senilai Rp 57 miliar.Translate post,Begini kronologi kasus Bambang Kayun yang didakwa menerima suap uang dan barang berupa mobil Toyota Fortuner senilai Rp  miliarTranslate post,begini kronologi kasus bambang kayun yang didakwa menerima suap uang dan barang berupa mobil toyota fortuner senilai rp  miliartranslate post,"['begini', 'kronologi', 'kasus', 'bambang', 'kayun', 'yang', 'didakwa', 'menerima', 'suap', 'uang', 'dan', 'barang', 'berupa', 'mobil', 'toyota', 'fortuner', 'senilai', 'rp', 'miliartranslate', 'post']","['kronologi', 'bambang', 'kayun', 'didakwa', 'menerima', 'suap', 'uang', 'barang', 'senilai', 'miliartranslate']",kronologi bambang kayun dakwa terima suap uang barang nila miliartranslate,Toyota,Negatif
60 juta sih bisa banget buat DP mobil Suzuki?Translate post, juta sih bisa banget buat DP mobil SuzukiTranslate post, juta sih bisa banget buat dp mobil suzukitranslate post,"['juta', 'sih', 'bisa', 'banget', 'buat', 'dp', 'mobil', 'suzukitranslate', 'post']","['dp', 'suzukitranslate']",dp suzukitranslate,Suzuki,Netral
"Suzuki Baleno mau dilihat dari sisi mana pun, tetap terlihat elegan kan!? Apalagi desain velg barunya yang modern dan eye-cathing! Bikin semua orang nengok sepanjang jalan. ? #Suzuki #SuzukiIndo...",Suzuki Baleno mau dilihat dari sisi mana pun tetap terlihat elegan kan Apalagi desain velg barunya yang modern dan eyecathing Bikin semua orang nengok sepanjang jalan  Suzuki SuzukiIndo,suzuki baleno mau dilihat dari sisi mana pun tetap terlihat elegan kan apalagi desain velg barunya yang modern dan eyecathing bikin semua orang nengok sepanjang jalan  suzuki suzukiindo,"['suzuki', 'baleno', 'mau', 'dilihat', 'dari', 'sisi', 'mana', 'pun', 'tetap', 'terlihat', 'elegan', 'kan', 'apalagi', 'desain', 'velg', 'barunya', 'yang', 'modern', 'dan', 'eyecathing', 'bikin', 'semua', 'orang', 'nengok', 'sepanjang', 'jalan', 'suzuki', 'suzukiindo']","['baleno', 'sisi', 'elegan', 'desain', 'velg', 'barunya', 'modern', 'eyecathing', 'nengok', 'suzukiindo']",baleno sisi elegan desain velg baru modern eyecathing nengok suzukiindo,Suzuki,Positif
"Walaupun sudah gak banyak digunakan pada kendaraan modern, rem tromol ternyata punya kelebihan dibandingkan dengan rem cakram! Simak di sini yuk, Suzuki Family! #Suzuki #SuzukiIndonesia #SuzukiTeMa...",Walaupun sudah gak banyak digunakan pada kendaraan modern rem tromol ternyata punya kelebihan dibandingkan dengan rem cakram Simak di sini yuk Suzuki Family Suzuki SuzukiIndonesia SuzukiTeMa,walaupun sudah gak banyak digunakan pada kendaraan modern rem tromol ternyata punya kelebihan dibandingkan dengan rem cakram simak di sini yuk suzuki family suzuki suzukiindonesia suzukitema,"['walaupun', 'sudah', 'gak', 'banyak', 'digunakan', 'pada', 'kendaraan', 'modern', 'rem', 'tromol', 'ternyata', 'punya', 'kelebihan', 'dibandingkan', 'dengan', 'rem', 'cakram', 'simak', 'di', 'sini', 'yuk', 'suzuki', 'family', 'suzuki', 'suzukiindonesia', 'suzukitema']","['modern', 'rem', 'tromol', 'kelebihan', 'dibandingkan', 'rem', 'cakram', 'simak', 'suzukitema']",modern rem tromol lebih banding rem cakram simak suzukitema,Suzuki,Positif
Lihat video Bayu hutama motor! #TikTok,Lihat video Bayu hutama motor TikTok,lihat video bayu hutama motor tiktok,"['lihat', 'video', 'bayu', 'hutama', 'motor', 'tiktok']","['lihat', 'video', 'bayu', 'hutama', 'tiktok']",lihat video bayu hutama tiktok,Suzuki,Netral
Bus Danau Raya Jurusan Solok-Padang Hilang Kendali dan Tabrak Tebing di Koto Gaek via @infosumbar https://infosumbar.net/berita/berita-sumbar/solok-raya/bus-danau-raya-jurusan-solok-padang-hilang-k...,Bus Danau Raya Jurusan SolokPadang Hilang Kendali dan Tabrak Tebing di Koto Gaek via  ,bus danau raya jurusan solokpadang hilang kendali dan tabrak tebing di koto gaek via  ,"['bus', 'danau', 'raya', 'jurusan', 'solokpadang', 'hilang', 'kendali', 'dan', 'tabrak', 'tebing', 'di', 'koto', 'gaek', 'via']","['bus', 'danau', 'raya', 'jurusan', 'solokpadang', 'hilang', 'kendali', 'tabrak', 'tebing', 'koto', 'gaek']",bus danau raya jurus solokpadang hilang kendali tabrak tebing koto gaek,Mitsubishi,Negatif
"Sopir Diduga Mengantuk, Fortuner Terjun ke Sungai di CilegonTranslate post",Sopir Diduga Mengantuk Fortuner Terjun ke Sungai di CilegonTranslate post,sopir diduga mengantuk fortuner terjun ke sungai di cilegontranslate post,"['sopir', 'diduga', 'mengantuk', 'fortuner', 'terjun', 'ke', 'sungai', 'di', 'cilegontranslate', 'post']","['sopir', 'diduga', 'mengantuk', 'terjun', 'sungai', 'cilegontranslate']",sopir duga antuk terjun sungai cilegontranslate,Toyota,Negatif
"Berita populer kumparanOTO, Kamis (25/5) mekanik asal Indonesia juara kompetisi teknisi di Thailand. #kumparanOTO",Berita populer kumparanOTO Kamis  mekanik asal Indonesia juara kompetisi teknisi di Thailand kumparanOTO,berita populer kumparanoto kamis  mekanik asal indonesia juara kompetisi teknisi di thailand kumparanoto,"['berita', 'populer', 'kumparanoto', 'kamis', 'mekanik', 'asal', 'indonesia', 'juara', 'kompetisi', 'teknisi', 'di', 'thailand', 'kumparanoto']","['berita', 'populer', 'kumparanoto', 'kamis', 'mekanik', 'juara', 'kompetisi', 'teknisi', 'thailand', 'kumparanoto']",berita populer kumparanoto kamis mekanik juara kompetisi teknisi thailand kumparanoto,Honda,Positif
"Mobil itu butuh perputaran mesin supaya bisa melaju di jalanan sesuai medannya. Terus, kapan ya waktu yang tepat untuk menggunakan gigi D1? #Suzuki #SuzukiIndonesia #SuzukiTeManBerkendara #YourGear...",Mobil itu butuh perputaran mesin supaya bisa melaju di jalanan sesuai medannya Terus kapan ya waktu yang tepat untuk menggunakan gigi D Suzuki SuzukiIndonesia SuzukiTeManBerkendara YourGear,mobil itu butuh perputaran mesin supaya bisa melaju di jalanan sesuai medannya terus kapan ya waktu yang tepat untuk menggunakan gigi d suzuki suzukiindonesia suzukitemanberkendara yourgear,"['mobil', 'itu', 'butuh', 'perputaran', 'mesin', 'supaya', 'bisa', 'melaju', 'di', 'jalanan', 'sesuai', 'medannya', 'terus', 'kapan', 'ya', 'waktu', 'yang', 'tepat', 'untuk', 'menggunakan', 'gigi', 'd', 'suzuki', 'suzukiindonesia', 'suzukitemanberkendara', 'yourgear']","['butuh', 'perputaran', 'mesin', 'melaju', 'jalanan', 'sesuai', 'medannya', 'gigi', 'yourgear']",butuh putar mesin laju jalan sesuai medan gigi yourgear,Suzuki,Netral
Opsi transmisi D1 umumnya digunakan pada saat engine brake pada jalan turunan yang tajam atau panjang dan saat melalui tanjakkan yang terbilang curam.Translate post,Opsi transmisi D umumnya digunakan pada saat engine brake pada jalan turunan yang tajam atau panjang dan saat melalui tanjakkan yang terbilang curamTranslate post,opsi transmisi d umumnya digunakan pada saat engine brake pada jalan turunan yang tajam atau panjang dan saat melalui tanjakkan yang terbilang curamtranslate post,"['opsi', 'transmisi', 'd', 'umumnya', 'digunakan', 'pada', 'saat', 'engine', 'brake', 'pada', 'jalan', 'turunan', 'yang', 'tajam', 'atau', 'panjang', 'dan', 'saat', 'melalui', 'tanjakkan', 'yang', 'terbilang', 'curamtranslate', 'post']","['opsi', 'transmisi', 'engine', 'brake', 'turunan', 'tajam', 'tanjakkan', 'terbilang', 'curamtranslate']",opsi transmisi engine brake turun tajam tanjak bilang curamtranslate,Suzuki,Netral
"Pukul 8 malam mereka pun menuju ke hotel di kawasan Jalan Lapangan Banteng, tak diketahui pasti siapa yang ikut bersama Afriyani. Kala itu Afriyani mengendarai mobil Daihatsu Xenia, semua berjalan...",Pukul  malam mereka pun menuju ke hotel di kawasan Jalan Lapangan Banteng tak diketahui pasti siapa yang ikut bersama Afriyani Kala itu Afriyani mengendarai mobil Daihatsu Xenia semua berjalan,pukul  malam mereka pun menuju ke hotel di kawasan jalan lapangan banteng tak diketahui pasti siapa yang ikut bersama afriyani kala itu afriyani mengendarai mobil daihatsu xenia semua berjalan,"['pukul', 'malam', 'mereka', 'pun', 'menuju', 'ke', 'hotel', 'di', 'kawasan', 'jalan', 'lapangan', 'banteng', 'tak', 'diketahui', 'pasti', 'siapa', 'yang', 'ikut', 'bersama', 'afriyani', 'kala', 'itu', 'afriyani', 'mengendarai', 'mobil', 'daihatsu', 'xenia', 'semua', 'berjalan']","['malam', 'hotel', 'kawasan', 'lapangan', 'banteng', 'afriyani', 'afriyani', 'mengendarai', 'berjalan']",malam hotel kawasan lapang banteng afriyani afriyani kendara jalan,Daihatsu,Netral
"Jan 26, 2023. Ini alasan Marcus/Kevin memutuskan mundur dari babak 16 besar Daihatsu Indonesia Masters 2023 di tengah pertandingan melawan wakil dari China Kiky Paramita (@paramita_kiky) on X ♊",Jan   Ini alasan MarcusKevin memutuskan mundur dari babak  besar Daihatsu Indonesia Masters  di tengah pertandingan melawan wakil dari China Kiky Paramita  on X ,jan   ini alasan marcuskevin memutuskan mundur dari babak  besar daihatsu indonesia masters  di tengah pertandingan melawan wakil dari china kiky paramita  on x ,"['jan', 'ini', 'alasan', 'marcuskevin', 'memutuskan', 'mundur', 'dari', 'babak', 'besar', 'daihatsu', 'indonesia', 'masters', 'di', 'tengah', 'pertandingan', 'melawan', 'wakil', 'dari', 'china', 'kiky', 'paramita', 'on', 'x']","['jan', 'alasan', 'marcuskevin', 'memutuskan', 'mundur', 'babak', 'pertandingan', 'melawan', 'wakil', 'kiky', 'paramita']",jan alas marcuskevin putus mundur babak tanding lawan wakil kiky paramita,Daihatsu,Netral
Viral di media sosial video satu unit mobil Toyota Fortuner yang habis dilalap oleh si jago merah hingga hanya tersisa rangka mobil saja.Translate post,Viral di media sosial video satu unit mobil Toyota Fortuner yang habis dilalap oleh si jago merah hingga hanya tersisa rangka mobil sajaTranslate post,viral di media sosial video satu unit mobil toyota fortuner yang habis dilalap oleh si jago merah hingga hanya tersisa rangka mobil sajatranslate post,"['viral', 'di', 'media', 'sosial', 'video', 'satu', 'unit', 'mobil', 'toyota', 'fortuner', 'yang', 'habis', 'dilalap', 'oleh', 'si', 'jago', 'merah', 'hingga', 'hanya', 'tersisa', 'rangka', 'mobil', 'sajatranslate', 'post']","['viral', 'media', 'sosial', 'video', 'habis', 'dilalap', 'jago', 'merah', 'tersisa', 'rangka', 'sajatranslate']",viral media sosial video habis lalap jago merah sisa rangka sajatranslate,Toyota,Negatif
"Hidup kadang kayak Angrybird, kalo gagal ada aja babi yang ketawa. #recehkantwitter",Hidup kadang kayak Angrybird kalo gagal ada aja babi yang ketawa recehkantwitter,hidup kadang kayak angrybird kalo gagal ada aja babi yang ketawa recehkantwitter,"['hidup', 'kadang', 'kayak', 'angrybird', 'kalo', 'gagal', 'ada', 'aja', 'babi', 'yang', 'ketawa', 'recehkantwitter']","['hidup', 'kadang', 'angrybird', 'gagal', 'babi', 'ketawa', 'recehkantwitter']",hidup kadang angrybird gagal babi ketawa recehkantwitter,Daihatsu,Negatif
BRI Cabang Sentani Gelar Undian Panen Hadiah Simpedes,BRI Cabang Sentani Gelar Undian Panen Hadiah Simpedes,bri cabang sentani gelar undian panen hadiah simpedes,"['bri', 'cabang', 'sentani', 'gelar', 'undian', 'panen', 'hadiah', 'simpedes']","['bri', 'cabang', 'sentani', 'gelar', 'undian', 'panen', 'hadiah', 'simpedes']",bri cabang sentani gelar undi panen hadiah simpedes,Daihatsu,Netral
"Panggilan Buat Konsumen Mobil Honda, Cek Status Recall SekarangTranslate post",Panggilan Buat Konsumen Mobil Honda Cek Status Recall SekarangTranslate post,panggilan buat konsumen mobil honda cek status recall sekarangtranslate post,"['panggilan', 'buat', 'konsumen', 'mobil', 'honda', 'cek', 'status', 'recall', 'sekarangtranslate', 'post']","['panggilan', 'konsumen', 'cek', 'status', 'recall', 'sekarangtranslate']",panggil konsumen cek status recall sekarangtranslate,Honda,Netral
"Daihatsu Indonesia · @DaihatsuInd. ·. Mar 16. Tebak pertanyaannya dan akan ada 200 ribu saldo Astrapay untuk 4 orang yang beruntung! Syaratnya: - Follow. @ Dedi Afianto (@afianto_dedi) on X ? Rizka Tri Destiani 
? Abisatya Giandra Pandega","Daihatsu Indonesia    Mar  Tebak pertanyaannya dan akan ada  ribu saldo Astrapay untuk  orang yang beruntung Syaratnya  Follow  Dedi Afianto  on X  Rizka Tri Destiani 
 Abisatya Giandra Pandega","daihatsu indonesia    mar  tebak pertanyaannya dan akan ada  ribu saldo astrapay untuk  orang yang beruntung syaratnya  follow  dedi afianto  on x  rizka tri destiani 
 abisatya giandra pandega","['daihatsu', 'indonesia', 'mar', 'tebak', 'pertanyaannya', 'dan', 'akan', 'ada', 'ribu', 'saldo', 'astrapay', 'untuk', 'orang', 'yang', 'beruntung', 'syaratnya', 'follow', 'dedi', 'afianto', 'on', 'x', 'rizka', 'tri', 'destiani', 'abisatya', 'giandra', 'pandega']","['mar', 'tebak', 'pertanyaannya', 'ribu', 'saldo', 'astrapay', 'beruntung', 'syaratnya', 'dedi', 'afianto', 'rizka', 'tri', 'destiani', 'abisatya', 'giandra', 'pandega']",mar tebak tanya ribu saldo astrapay untung syarat dedi afianto rizka tri destiani abisatya giandra pandega,Daihatsu,Positif
"<iframe src=""https://octaengine.com/ib/300x250/ib31471886…"" allowtransparency=""true"" framespacing=""0"" frameborder=""no"" scrolling=""no"" width=""300"" height=""250""></iframe>",,,[],[],,Daihatsu,Netral
Promo Mobil Honda Jabodetabek harga murah terbaruTranslate post,Promo Mobil Honda Jabodetabek harga murah terbaruTranslate post,promo mobil honda jabodetabek harga murah terbarutranslate post,"['promo', 'mobil', 'honda', 'jabodetabek', 'harga', 'murah', 'terbarutranslate', 'post']","['promo', 'jabodetabek', 'murah', 'terbarutranslate']",promo jabodetabek murah terbarutranslate,Honda,Positif
Sebuah mobil Toyota Kijang menabrak pohon di Trenggalek. Kecelakaan itu menewaskan pengemudi Kijang. via @detik_jatimTranslate post,Sebuah mobil Toyota Kijang menabrak pohon di Trenggalek Kecelakaan itu menewaskan pengemudi Kijang via  post,sebuah mobil toyota kijang menabrak pohon di trenggalek kecelakaan itu menewaskan pengemudi kijang via  post,"['sebuah', 'mobil', 'toyota', 'kijang', 'menabrak', 'pohon', 'di', 'trenggalek', 'kecelakaan', 'itu', 'menewaskan', 'pengemudi', 'kijang', 'via', 'post']","['menabrak', 'pohon', 'trenggalek', 'kecelakaan', 'menewaskan', 'pengemudi']",tabrak pohon trenggalek celaka tewas kemudi,Toyota,Negatif
"Ini dia 5 sobat Shopee yang berhasil mendapatkan Mobil Toyota Agya di Flash Sale Akbar dengan harga Rp1 ? Kurniawan Eko, Febbry Setiawan, Evita, Adinda Permata dan Devi Anggraeni sudah bertemu...",Ini dia  sobat Shopee yang berhasil mendapatkan Mobil Toyota Agya di Flash Sale Akbar dengan harga Rp  Kurniawan Eko Febbry Setiawan Evita Adinda Permata dan Devi Anggraeni sudah bertemu,ini dia  sobat shopee yang berhasil mendapatkan mobil toyota agya di flash sale akbar dengan harga rp  kurniawan eko febbry setiawan evita adinda permata dan devi anggraeni sudah bertemu,"['ini', 'dia', 'sobat', 'shopee', 'yang', 'berhasil', 'mendapatkan', 'mobil', 'toyota', 'agya', 'di', 'flash', 'sale', 'akbar', 'dengan', 'harga', 'rp', 'kurniawan', 'eko', 'febbry', 'setiawan', 'evita', 'adinda', 'permata', 'dan', 'devi', 'anggraeni', 'sudah', 'bertemu']","['sobat', 'shopee', 'berhasil', 'flash', 'sale', 'akbar', 'kurniawan', 'eko', 'febbry', 'setiawan', 'evita', 'adinda', 'permata', 'devi', 'anggraeni', 'bertemu']",sobat shopee hasil flash sale akbar kurniawan eko febbry setiawan evita adinda permata devi anggraeni temu,Toyota,Netral
Wanita Asal Medan Ini Resmi Terima Mobil Agya Seharga Rp1 dari Flash Sale Rp1 ShopeeTranslate post,Wanita Asal Medan Ini Resmi Terima Mobil Agya Seharga Rp dari Flash Sale Rp ShopeeTranslate post,wanita asal medan ini resmi terima mobil agya seharga rp dari flash sale rp shopeetranslate post,"['wanita', 'asal', 'medan', 'ini', 'resmi', 'terima', 'mobil', 'agya', 'seharga', 'rp', 'dari', 'flash', 'sale', 'rp', 'shopeetranslate', 'post']","['wanita', 'medan', 'resmi', 'terima', 'seharga', 'flash', 'sale', 'shopeetranslate']",wanita medan resmi terima harga flash sale shopeetranslate,Toyota,Netral
"siang kepanggang di jalan solo, malemnya kekumbah dijakal",siang kepanggang di jalan solo malemnya kekumbah dijakal,siang kepanggang di jalan solo malemnya kekumbah dijakal,"['siang', 'kepanggang', 'di', 'jalan', 'solo', 'malemnya', 'kekumbah', 'dijakal']","['siang', 'kepanggang', 'solo', 'malemnya', 'kekumbah', 'dijakal']",siang panggang solo malemnya kumbah jakal,Daihatsu,Netral
"Walaupun dikenal tangguh, mobil 4WD juga perlu perawatan rutin agar performanya tetap terjaga! Pahami do's and don'ts-nya sebelum terlambat. #Suzuki #SuzukiIndonesia #SuzukiTeManBerkendara...",Walaupun dikenal tangguh mobil WD juga perlu perawatan rutin agar performanya tetap terjaga Pahami dos and dontsnya sebelum terlambat Suzuki SuzukiIndonesia SuzukiTeManBerkendara,walaupun dikenal tangguh mobil wd juga perlu perawatan rutin agar performanya tetap terjaga pahami dos and dontsnya sebelum terlambat suzuki suzukiindonesia suzukitemanberkendara,"['walaupun', 'dikenal', 'tangguh', 'mobil', 'wd', 'juga', 'perlu', 'perawatan', 'rutin', 'agar', 'performanya', 'tetap', 'terjaga', 'pahami', 'dos', 'and', 'dontsnya', 'sebelum', 'terlambat', 'suzuki', 'suzukiindonesia', 'suzukitemanberkendara']","['dikenal', 'tangguh', 'wd', 'perawatan', 'rutin', 'performanya', 'terjaga', 'pahami', 'dos', 'dontsnya', 'terlambat']",kenal tangguh wd awat rutin performa jaga paham dos dontsnya lambat,Suzuki,Positif
"Adinda sudah mengantongi mobil Toyota Agya yang dinanti-nantikannya, lengkap dengan STNK atas nama dirinya, plat, dan surat-surat resmi lainnya. #Sindonews #news .Translate post",Adinda sudah mengantongi mobil Toyota Agya yang dinantinantikannya lengkap dengan STNK atas nama dirinya plat dan suratsurat resmi lainnya Sindonews news Translate post,adinda sudah mengantongi mobil toyota agya yang dinantinantikannya lengkap dengan stnk atas nama dirinya plat dan suratsurat resmi lainnya sindonews news translate post,"['adinda', 'sudah', 'mengantongi', 'mobil', 'toyota', 'agya', 'yang', 'dinantinantikannya', 'lengkap', 'dengan', 'stnk', 'atas', 'nama', 'dirinya', 'plat', 'dan', 'suratsurat', 'resmi', 'lainnya', 'sindonews', 'news', 'translate', 'post']","['adinda', 'mengantongi', 'dinantinantikannya', 'lengkap', 'stnk', 'nama', 'plat', 'suratsurat', 'resmi', 'sindonews', 'news']",adinda kantong dinantinantikannya lengkap stnk nama plat suratsurat resmi sindonews news,Toyota,Netral
Ada 5 pemenang yang berhasil mendapatkan masing-masing satu unit mobil Toyota Agya seharga Rp 1 setelah mengikuti Flash Sale Rp 1 Shopee yang diadakan pada 4 April 2023 pukul 00.00 WIB lalu.Transla...,Ada  pemenang yang berhasil mendapatkan masingmasing satu unit mobil Toyota Agya seharga Rp  setelah mengikuti Flash Sale Rp  Shopee yang diadakan pada  April  pukul  WIB laluTransla,ada  pemenang yang berhasil mendapatkan masingmasing satu unit mobil toyota agya seharga rp  setelah mengikuti flash sale rp  shopee yang diadakan pada  april  pukul  wib lalutransla,"['ada', 'pemenang', 'yang', 'berhasil', 'mendapatkan', 'masingmasing', 'satu', 'unit', 'mobil', 'toyota', 'agya', 'seharga', 'rp', 'setelah', 'mengikuti', 'flash', 'sale', 'rp', 'shopee', 'yang', 'diadakan', 'pada', 'april', 'pukul', 'wib', 'lalutransla']","['pemenang', 'berhasil', 'masingmasing', 'seharga', 'mengikuti', 'flash', 'sale', 'shopee', 'diadakan', 'april', 'wib', 'lalutransla']",menang hasil masingmasing harga ikut flash sale shopee ada april wib lalutransla,Toyota,Positif
"Jangan ngaku jadi Sahabat Daihatsu kalau nggak tahu nama mobil ini! ? Hayoo coba tebak dengan reply di bawah, mobil apakah ini? ? #DaihatsuSahabatkuTranslate post",Jangan ngaku jadi Sahabat Daihatsu kalau nggak tahu nama mobil ini  Hayoo coba tebak dengan reply di bawah mobil apakah ini  DaihatsuSahabatkuTranslate post,jangan ngaku jadi sahabat daihatsu kalau nggak tahu nama mobil ini  hayoo coba tebak dengan reply di bawah mobil apakah ini  daihatsusahabatkutranslate post,"['jangan', 'ngaku', 'jadi', 'sahabat', 'daihatsu', 'kalau', 'nggak', 'tahu', 'nama', 'mobil', 'ini', 'hayoo', 'coba', 'tebak', 'dengan', 'reply', 'di', 'bawah', 'mobil', 'apakah', 'ini', 'daihatsusahabatkutranslate', 'post']","['ngaku', 'nama', 'hayoo', 'tebak']",ngaku nama hayoo tebak,Daihatsu,Netral
"Pasutri asal Mulyo Asri Tulang Bawang Barat ditangkap polisi lantaran telah mencuri mobil Daihatsu Sigra di Mess PT GGPC Humas Jaya Perum Central, Rabu (31/5). #publisherstory #lampunggehTranslate...",Pasutri asal Mulyo Asri Tulang Bawang Barat ditangkap polisi lantaran telah mencuri mobil Daihatsu Sigra di Mess PT GGPC Humas Jaya Perum Central Rabu  publisherstory lampunggehTranslate,pasutri asal mulyo asri tulang bawang barat ditangkap polisi lantaran telah mencuri mobil daihatsu sigra di mess pt ggpc humas jaya perum central rabu  publisherstory lampunggehtranslate,"['pasutri', 'asal', 'mulyo', 'asri', 'tulang', 'bawang', 'barat', 'ditangkap', 'polisi', 'lantaran', 'telah', 'mencuri', 'mobil', 'daihatsu', 'sigra', 'di', 'mess', 'pt', 'ggpc', 'humas', 'jaya', 'perum', 'central', 'rabu', 'publisherstory', 'lampunggehtranslate']","['pasutri', 'mulyo', 'asri', 'tulang', 'bawang', 'barat', 'ditangkap', 'polisi', 'lantaran', 'mencuri', 'mess', 'ggpc', 'humas', 'jaya', 'perum', 'central', 'rabu', 'publisherstory', 'lampunggehtranslate']",pasutri mulyo asri tulang bawang barat tangkap polisi lantar curi mess ggpc humas jaya perum central rabu publisherstory lampunggehtranslate,Daihatsu,Negatif
"Cikal bakal lahirnya varian RS di mobil Honda, begini awalnya.Translate post",Cikal bakal lahirnya varian RS di mobil Honda begini awalnyaTranslate post,cikal bakal lahirnya varian rs di mobil honda begini awalnyatranslate post,"['cikal', 'bakal', 'lahirnya', 'varian', 'rs', 'di', 'mobil', 'honda', 'begini', 'awalnyatranslate', 'post']","['cikal', 'lahirnya', 'varian', 'rs', 'awalnyatranslate']",cikal lahir varian rs awalnyatranslate,Honda,Netral
